title,year,budget,revenue,gross_revenue,average_vote
Dilwale Dulhania Le Jayenge,1995,40000000,100000000,113200000,9.1
The Shawshank Redemption,1994,25000000,28341469,53341469,8.5
There Goes My Baby,1994,10500000,123509,10623509,8.5
Schindler's List,1993,22000000,321365567,343365567,8.3
Fight Club,1999,63000000,100853753,163853753,8.3
Pulp Fiction,1994,8000000,213928762,221928762,8.3
The Green Mile,1999,60000000,284600000,344600000,8.2
Forrest Gump,1994,55000000,677945399,732945399,8.2
American History X,1998,20000000,23875127,43875127,8.2
Se7en,1995,33000000,327311859,360311859,8.1
The Silence of the Lambs,1991,19000000,272742922,291742922,8.1
Reservoir Dogs,1992,1200000,14661007,15861007,8.1
The Usual Suspects,1995,6000000,23341568,29341568,8.1
The Lion King,1994,45000000,788241776,833241776,8
The Matrix,1999,63000000,463517383,526517383,7.9
Good Will Hunting,1997,10000000,225933435,235933435,7.9
Saving Private Ryan,1998,70000000,481840909,551840909,7.9
American Beauty,1999,15000000,356296601,371296601,7.9
The Truman Show,1998,60000000,264118201,324118201,7.8
Trainspotting,1996,3500000,16491080,20491080,7.8
Casino,1995,52000000,116112375,168112375,7.8
The Big Lebowski,1998,15000000,46189568,61189568,7.8
Heat,1995,60000000,187436818,247436818,7.7
Fargo,1996,7000000,60611975,67611975,7.7
Braveheart,1995,72000000,210000000,282000000,7.7
Unforgiven,1992,14400000,159157447,173157447,7.7
Toy Story,1995,30000000,373554033,403554033,7.7
Carlito's Way,1993,30000000,36516012,66516012,7.7
Before Sunrise,1995,2500000,5535405,8035405,7.7
L.A. Confidential,1997,35000000,126216940,161216940,7.7
The Sixth Sense,1999,40000000,672806292,712806292,7.7
Terminator 2: Judgment Day,1991,102000000,520000000,620000000,7.7
Fried Green Tomatoes,1991,11000000,119418501,130418501,7.6
Philadelphia,1993,26000000,206678440,232678440,7.6
The Nightmare Before Christmas,1993,18000000,75634409,93634409,7.6
The Iron Giant,1999,70000000,23159305,93159305,7.6
Jurassic Park,1993,63000000,920100000,983100000,7.6
Misery,1990,20000000,61276872,81276872,7.6
Dances with Wolves,1990,22000000,424208848,446208848,7.6
Mulan,1998,90000000,304320254,394320254,7.6
In the Name of the Father,1993,13000000,65796862,78796862,7.6
Edward Scissorhands,1990,20000000,53000000,73000000,7.5
Titanic,1997,200000000,1845034188,2045034188,7.5
Lost Highway,1997,15000000,3675201,18675201,7.5
Magnolia,1999,37000000,48451803,85451803,7.5
The Remains of the Day,1993,15000000,23237911,34737911,7.5
Boogie Nights,1997,15000000,43101594,58101594,7.5
I Married a Strange Person!,1998,250000,203,453,7.5
JFK,1991,40000000,205405498,245405498,7.5
Night on Earth,1991,3500000,2015810,5515810,7.5
True Romance,1993,13000000,12281551,24781551,7.5
What's Eating Gilbert Grape,1993,11000000,10032765,21032765,7.5
Rushmore,1998,9000000,17096053,26096053,7.5
Glengarry Glen Ross,1992,12500000,10725228,23225228,7.5
"Lock, Stock and Two Smoking Barrels",1998,960000,3897569,5247569,7.5
Miller's Crossing,1990,14000000,5080409,19080409,7.5
The Game,1997,50000000,109423648,159423648,7.5
Gattaca,1997,36000000,12532777,48532777,7.5
Beauty and the Beast,1991,25000000,377350553,402350553,7.5
Aladdin,1992,28000000,504050219,532050219,7.4
Office Space,1999,10000000,12827813,22827813,7.4
Braindead,1992,3000000,242623,3242623,7.4
Dazed and Confused,1993,6900000,7993039,14893039,7.4
Happiness,1998,2200000,2807390,5807390,7.4
Primal Fear,1996,30000000,102616183,132616183,7.4
Clerks,1994,27000,3151130,3178130,7.4
Sling Blade,1996,1000000,24444121,25444121,7.4
Groundhog Day,1993,14600000,70906973,85506973,7.4
Anastasia,1997,50000000,139804348,192804348,7.4
Twelve Monkeys,1995,29000001,168840000,198340000,7.4
Batman: Mask of the Phantasm,1993,6000000,5617391,11617391,7.4
Delicatessen,1991,24000000,1794187,5794187,7.4
Ridicule,1996,50000000,2503829,5503829,7.4
Donnie Brasco,1997,35000000,41954997,76954997,7.4
Tombstone,1993,25000000,56505065,81505065,7.4
Boyz n the Hood,1991,6500000,57504069,64004069,7.4
Barton Fink,1991,9000000,6153939,15153939,7.4
A Bronx Tale,1993,22000000,17287898,39287898,7.4
Jacob's Ladder,1990,25000000,25965144,50965144,7.3
Scent of a Woman,1992,31000000,134095253,165095253,7.3
Deconstructing Harry,1997,20000000,10686841,30686841,7.3
Toy Story 2,1999,90000000,497366869,587366869,7.3
Jackie Brown,1997,12000000,39673162,51673162,7.3
Being John Malkovich,1999,13000000,22863596,35863596,7.3
The Funeral,1996,12500000,1227324,13727324,7.3
Malcolm X,1992,33000000,48169908,82169908,7.3
10 Things I Hate About You,1999,30000000,53478166,69478166,7.3
My Cousin Vinny,1992,11000000,64088552,75088552,7.3
The Crow,1994,23000000,94000000,109000000,7.3
Ed Wood,1994,18000000,5887457,23887457,7.3
The Bridges of Madison County,1995,24000000,182016617,206016617,7.3
Dead Man Walking,1995,11000000,39363635,50363635,7.3
Twin Peaks: Fire Walk with Me,1992,10000000,4160851,14160851,7.3
Sleepers,1996,44000000,165615285,209615285,7.3
The Fifth Element,1997,93000000,263920180,353920180,7.3
Apollo 13,1995,52000000,355237933,407237933,7.3
Hercules,1997,85000000,252712101,337712101,7.3
The Insider,1999,90000000,60289912,150289912,7.3
Contact,1997,90000000,171120329,261120329,7.2
Dark City,1998,27000000,27200316,54200316,7.2
